Year,PADDY,JOWAR,BAJRA,MAIZE,RAGI,msptur,MOONG,URAD,COTTON,GROUNDNUT IN SHELL,SUNFLOWER SEED,SOYABEEN,SESAMUM,NIGERSEED,WHEAT,BARLEY,GRAM,MASUR (LENTIL),RAPESEED/MUSTARD,SAFFLOWER,TORIA,COPRA,(Calender Year),JUTE,SUGARCANE@,TOBACCO(VFC),(Rs. per kg.),Food Grains (Cereals) - Rice (000 tonnes),Food Grains (Cereals) - Jowar (000 tonnes),Food Grains (Cereals) - Bajra (000 tonnes),Food Grains (Cereals) - Maize (000 tonnes),Food Grains (Cereals) - Ragi (000 tonnes),Food Grains (Cereals) - Small Millets (000 tonnes),Food Grains (Cereals) - Wheat (000 tonnes),Food Grains (Cereals) - Barley (000 tonnes),Food Grains (Cereals) - Total (000 tonnes),Food Grains (Pulses) - Gram (000 tonnes),Productivity (000 tonnes),Food Grains (Pulses) - Other Pulses (000 tonnes),Food Grains (Pulses) - Total (000 tonnes),Food Grains - Total (000 tonnes),Oilseeds - Ground-nuts (000 tonnes),Oilseeds - Sesamum (000 tonnes),Oilseeds - Rapeseed and Mustard (000 tonnes),Oilseeds - Linseed (000 tonnes),Oilseeds - Castor seed (000 tonnes),Total Nine Oilseeds (000 tonnes),Cotton (000 Bales),Jute (000 Bales),Mesta (000 Bales),Tea (Million kgs),Coffee (000 MT),Natural Rubber (000 MT),Banana (000 tonnes),Sugarcane (000 tonnes),Tobacco (000 tonnes),Potatoes (000 tonnes),Black Pepper (000 tonnes),Chillies (000 tonnes),Ginger (000 tonnes),Coconut (000 tonnes),Turmeric (000 tonnes),Area in 0000ha
2001,510,445,445,445,445,1200,1200,1200,1625,1220,1170,775,1300,1025,610,500,1100,1200,1200,1200,1165,3250,3500,785,59.5,26,28,93340,7557,8284,13160,2375,577,72766,1425,199483,5473,2260,5635,13368,212851,7028,698,5083,209,653,20662,9997,10584,1094,854,301,631,13160,297208,546,23924,62,1069,322,12963,563,3306.12
2002,530,485,485,485,485,1320,1320,1320,1675,1340,1185,795,1400,1100,620,500,1200,1300,1300,1300,1265,3300,3550,810,62.05,27,29,71820,7012,4719,11152,1316,459,65761,1407,163646,4237,2186,4702,11125,174771,4121,441,3880,177,428,14838,8624,10274,1002,846,275,649,11975,287383,500,23269,72,895,280,12535,522,2964.76
2003,550,490,495,490,490,1325,1335,1335,1695,1375,1210,805,1455,1120,630,505,1225,1325,1340,1305,1305,3300,3550,850,69.5,28,30,88526,6681,12109,14984,1966,564,72156,1298,198284,5718,2356,6831,14905,213189,8127,782,6291,197,797,25186,13729,10252,921,879,271,712,11388,233862,550,23060,73,1236,302,12178,565,3439.89
2004,550,505,505,505,505,1360,1370,1370,1725,1400,1250,840,1485,1155,630,525,1400,1500,1600,1500,1565,3320,3570,860,73,31,33,83132,7244,7931,14172,2432,478,68637,1207,185233,5469,2347,5314,13130,198363,6774,674,7593,170,793,24354,16429,9399,873,907,276,750,11710,237088,549,23631,73,1186,359,12833,718,2912.1
2005,560,515,515,525,515,1390,1410,1410,1760,1500,1340,900,1500,1180,640,540,1425,1525,1700,1550,1665,3500,3750,890,74.5,32,34,91793,7630,7684,14710,2354,472,69355,1221,195217,5600,2738,5046,13384,208602,7993,641,8131,173,991,27978,18499,9970,870,949,274,803,12105,281172,552,23905,93,1015,391,14811,852,2875.33
2006,570,525,525,540,525,1400,1520,1520,1760,1520,1500,900,1550,1200,650,550,1435,1535,1715,1585,1680,3570,3820,910,79.5,32,34,93355,7151,8424,15097,1444,480,75807,1328,203085,6334,2314,5550,14198,217282,4864,618,7438,168,762,24289,22632,10317,956,973,288,853,16609,355520,469,22181,69,1242,393,15840,787,3297.13
2007,580,540,555,540,540,540,1410,1520,1770,1520,1500,900,1560,1220,750,565,1445,1545,1715,1565,1680,3590,3840,1000,80.25,32,34,96693,7926,9970,18955,2152,551,78570,1196,216014,5749,3076,5937,14762,230775,9183,757,5834,163,1054,29755,25884,10220,990,987,262,825,23823,348188,437,34658,50,1371,775,10148,884,2287.96
2008,850,840,860,840,840,915,2000,2520,2520,,,,,,1080,680,1730,1870,1830,1650,1735,3660,3910,1250,81.18,,,99172,7246,8887,19731,2040,445,80679,1689,219889,7060,2266,5240,14566,234456,7168,640,7201,169,1171,27719,22276,9634,731,973,262,865,26217,285029,569,34391,50,1382,832,10148,895,3113.22
2009,850,840,840,840,915,2000,2520,2520,2550,2100,2215,1350,2750,2405,1080,680,1730,1870,1830,1650,1735,3660,3910,1250,81.18,,,89083,6698,6506,16720,1889,382,80804,1355,203435,7476,2465,4720,14662,218098,5428,588,6608,154,1009,24882,24022,11230,587,991,290,831,26470,292302,665,36577,50,1470,708,10824,928,3221.59
2010,950,840,860,840,915,2300,2760,2520,2500,2100,2215,1350,2850,2405,1100,750,1760,1870,1830,1680,1735,4450,4700,1375,129.84,,,95970,7003,10370,21726,2194,442,86874,1663,226241,8221,2861,7159,18241,244482,8266,893,8179,147,1350,32477,33000,10009,611,967,302,862,29780,342382,802,42339,52,1223,702,10840,993,4289.57
2011,1000,,880,880,965,3000,3170,2900,2500,2300,2350,1400,2900,2450,1120,780,2100,2250,1850,1800,1780,4450,4700,1575,139,,,105301,5979,10276,21759,1929,452,94882,1619,242197,7702,2654,6733,17089,259286,6964,810,6604,153,2295,29799,35200,10736,663,1095,314,904,28455,361037,752,41483,41,1276,756,14940,1167,3752.89
2012,1080,,980,980,1050,3200,3500,3300,2800,2700,2800,1650,3400,2900,1285,980,2800,2800,2500,2500,2425,4525,4775,1675,145,,,105241,5282,8742,22258,1574,436,93506,1752,238792,8833,3023,6486,18342,257135,4694,685,8029,149,1964,30940,34220,10340,590,1135,318,914,26509,341200,657,45344,53,1304,683,15609,971,3220.92
2013,1250,,1175,1175,1500,3850,4400,4300,3600,3700,3700,2200,4200,3500,1350,980,3000,2900,3000,2800,2970,5100,5350,2200,170,,,106646,5542,9250,24259,1983,430,95850,1831,245790,9526,3174,6555,19255,265045,9714,715,7877,142,1727,32749,35902,11083,607,1209,305,774.03,29725,352142,778,41555,51,1492,655,14911,1190,6841.12
2014,1310,,1250,1310,1500,4300,4500,4300,3700,4000,3700,2500,4500,3500,1400,1100,3100,2950,3050,3000,3020,5250,5500,2300,210,,,105482,5445,9184,24173,2061,386,86527,1613,234871,7332,2807,7013,17152,252023,7402,828,6282,155,1870,27511,34805,10618,508,1197,327,NA,28137,362333,NA,45951,55,1453,704,14154,852,2715.66
2015,1360,,1250,1310,1550,4350,4600,4350,3750,4000,3750,2500,4600,3600,1450,1150,3175,3075,3100,3050,3020,5250,5500,2400,220,,,104320,4410,8060,21810,1790,370,93500,1510,235760,7170,2460,6840,16470,252220,6771,866,6821,132,1650,25304,30147,9938,528,1233.14,348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2016,1410,,1275,1325,1650,4625,4850,4625,3800,4030,3800,,4700,3650,1525,1225,3500,3400,3350,3300,3290,5550,5830,2700,230,,,93880,2420,8550,19300,1850,340,NA,NA,126330,NA,4290,4410,8700,135030,6498,675,NA,NA,1731,23363,32123,9905,501,NA,320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2017,1470,,1330,1365,1725,5050,5225,5000,3860,4220,3950,,5000,3825,1625,1325,4000,3950,3700,3700,3560,5950,6240,3200,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1550,,1425,1425,1900,5450,5575,5400,4020,4450,4100,3050,5300,4050,1735,1410,4400,4250,4000,4100,3900,6500,5225,3500,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1750,,1950,1700,2897,5675,6975,5600,5150,4890,5388,3399,6249,5877,1840,1440,4620,4475,4200,4945,4190,7511,7750,3700,275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
